respid,question_profile,Distribution Media,Content Subject,Content Form,Target Age,Type,Aquisition Place,Provider,Share.Stranger,Share.Neighbor,Share.Friend,Share.Family,Forced_choice,Ratings_based,Gender,YOB,Father.Party,Father.Occupation,Mother.Party,Mother.Occupation,Education,Born.Location,Geography,Lived.NK,Party,Army,Occupation,Class,Market.Experience,Year.Defected,Reason.Defected,Time.China,ROK.Arrive,Info.TV_weekly,Info.Sat.TV_weekly,Info.Wired.Radio_weekly,Info.Radio_Plus_weekly,Info.radio.recorder_weekly,Info.Computer_weekly,Info.Notebook_weekly,Info.Internet_weekly,Info.North.Korean.Cell_weekly,Info.Chinese.Cell_weekly,Info.CD_DVD_weekly,Info.USB_weekly,Info.Tablet_weekly,Info.SD_Card_weekly,Info.MicroSD_weekly,Info.EVD_weekly,Info.All_Media_weekly,Info.TV_home,Info.Sat.TV_home,Info.Wired.Radio_home,Info.Radio_Plus_home,Info.radio.recorder_home,Info.Computer_home,Info.Notebook_home,Info.Internet_home,Info.North.Korean.Cell_home,Info.Chinese.Cell_home,Info.CD_DVD_home,Info.USB_home,Info.Tablet_home,Info.SD_Card_home,Info.MicroSD_home,Info.EVD_home,Info.All_Media_home,Used.Foreign.Info,Exposure.Work_Practice,Exposure.NKprogram_Game,Exposure.Music,Exposure.Drama,Exposure.News,Exposure.Pictures,Exposure.Literature,Exposure.Overseas_Games,ObtainInfo.Family,Obtain.Info.Friend,Obtain.Info.School_Friend,Obtain.Info.Colleague,Obtain.Info.Neighbor,Obtain.Info.Market_Seller
1,1.1,"Foreign device (phone, etc.)",Not country-related,Computer program or app,50+,Non-fiction,"Outside (park, street, etc.)",Friend,0,0,1,1,1,6,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,1.2,CD/DVD,International content,Text,Youth,Fiction,"Outside (park, street, etc.)",Neighbor,,,,,0,6,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,10.1,North Korean phone/tablet,North Korean content,Video,30-49,Non-fiction,"Outside (park, street, etc.)",Friend,0,0,1,1,1,4,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,10.2,North Korean phone/tablet,North Korean content,Text,Youth,Non-fiction,Market,Family,,,,,0,1,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,2.1,USB,International content,Text,30-49,Fiction,One's own home,Neighbor,0,0,1,1,1,6,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,2.2,North Korean phone/tablet,South Korean content,Text,Youth,Fiction,"Outside (park, street, etc.)",Neighbor,,,,,0,2,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,3.1,USB,Not country-related,Computer program or app,30-49,Non-fiction,Another person's home,Family,0,0,1,1,1,7,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,3.2,USB,South Korean content,Video,Youth,Fiction,One's own home,Friend,,,,,0,1,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,4.1,North Korean phone/tablet,Not country-related,Computer program or app,30-49,Fiction,Market,Neighbor,0,0,1,1,1,6,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,4.2,North Korean phone/tablet,North Korean content,"Recorded file (audiobook, etc.)",30-49,Non-fiction,Another person's home,Friend,,,,,0,1,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,5.1,CD/DVD,North Korean content,Text,19-29,Fiction,Market,Stranger,0,0,1,1,1,2,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,5.2,North Korean phone/tablet,North Korean content,Text,19-29,Fiction,"Outside (park, street, etc.)",Stranger,,,,,0,1,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,6.1,CD/DVD,North Korean content,Video,19-29,Fiction,Another person's home,Stranger,0,0,1,1,1,2,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
1,6.2,"Foreign device (phone, etc.)",Not country-related,"Recorded file (audiobook, etc.)",30-49,Non-fiction,Market,Neighbor,,,,,0,1,Man,1971,Yes,Technical or other blue collar,No,Market Trade,University,Pyongyang,Large city,Ryyanggang,0,0,"Specialist (doctor, writer etc.)","Could buy durables like refrigerators without issue, but struggled to buy really expensive things",1,2014,Wanted to give a better life to family (children etc.),1,2015,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
