respid,statements
1,Only possible to trade with family or friends
2,That's how I lived in North Korea
3,Development image
4,Useful for access
5,Because I thought it was safest
6,Because they are slow and can be viewed by the young and acquaintances
7,I bought it because I trust my family and friends the most
8,Trust
9,My own house
10,Because it is correct
11,Discontent with the North Korean system and prefer the wealth of South Korean or foreign society
12,Because I liked it
13,Because use a usb to watch many [things] on a notebook
14,Because I was very curious about the ways of life in capitalist or democratic countries which I could not see in North Korea
15,Because I wanted to know about the situation in other regions and all information
16,Because it was fun
17,I think it is good to share free culture
18,"Must share with people close. If you share with people you don't know you don't know what kind of person, if you don't trust, because it is dangerous. "
19,Because of safety
20,Because it's the safest and most relaible method
21,Can't even trust neighbors
22,Always was interested and wanted to see
23,Plan to talk about North Korea
24,Almost all North Koreans give and receive videos and files in this way
25,I want to inform
26,Because I find South Korean and other country's films interesting and fun. You learn a lot about things you don�t know.
27,"Living in isolation and under control, they all see and hear about a completely different world and are envious."
28,Showing the North Korean system
29,"All North Koreans want to watch but are frightened of government repression, so watch secretly with family"
30,Curiousity
31,Because I hope that the North Korean people hear the voices of the world and more quickly come out into the outside world
32,Because it's needed
33,"Not preferred, naturally that way"
34,Can't trust other people.
35,Because curious
36,"North Korean media is largely unpopular, while media from South Korea and other states inspires great enthusiasm. It is more popular with the young than the older, because it is so dangerous to share with relatives or neighbors, people share with close friends. Also, I served on the frontline in the military, and picked up such media and watched it. If you have such things while in the military, it can be the end of your life, but curiosity led me to pick it up, watch it and changed my thoughts, leading me to come to South Korea while in the North Korean military."
37,For safety
38,Curious and a tacit fashion
39,No reason
40,Novel
41,Doesn't go over
42,Curious about outside information
43,I think that information must be shared in order for North Korea to quickly unify with the South
44,I want to show how South Koreans live
45,Closest commonality
46,Closest commonality
47,That was how my North Korean life was
48,Because much information can be obtained and shared
49,Because it is the most common way contents are obtained and watched in North Korea
50,I heard many things from acquantances and friends about South Korean movies and information
51,Because I wanted to know a lot about affluent South Korea
52,Because I was curious
53,The young use it more
54,Because I want to inform people about South Korean culture
55,No opportunity to encounter but curious
56,Closest to me.
57,Friend
58,Interested
59,"Sharing with people I didn't know was difficult, I shared with acquaintances."
60,Wanted to see what life was like in other countries
61,For showing the North Korean system
62,I chose it as a propaganda means by which to collapse the North Korean system.
63,Because it was relatively better
64,Because I consumed dramas or films
65,Because I could access everything through acquantances
66,Because it was convenient
67,Because family guarantee secrets
68,North Korea's government must be changed as quickly as possible
69,"All people risk being informed on to the Ministry of State Seucirty so they do not trade in videos, audio, or files"
70,Family
71,Agitation
72,Real feeling
73,Because you should not get caught while sharing
74,To avoid detection
75,There is a tendency to watch South Korean dramas and films with friends you can trust and with family because you can go to prison if caught
76,Because it is the only way to see and learn about the world in isolated North Korea
77,"Because if you are exposed to dramas or films, you can understand the ways of the world"
78,I just watched it because it was fun
79,Not a bad person
80,"Because it is as you see, hear and feel."
81,Because they are people from my town and they aren't bad people
82,Problem of safety
83,Appeared slightly more appropriate
84,I chose the one that had at least one correct sentence
85,You usually cannot share with anyone who is not family or a really close friend
86,Because it matched me well
87,For personal liberalization
88,To come to South Korea
89,Regular
90,Realistic
91,Could see and learn many things
92,Close
93,Wanted to learn about South Korea and inform people I know about South Korea
94,"It was fun and realistic, so I shared."
95,Just good
96,Viewed South Korea-related videos through friends and acquaintances
97,To keep secret and keep life safe
98,Convey to neighbors because of Ministry of State Security surveillance
99,Because they are friends and relatives
100,Fun
101,Because it was a similar target age and a genre I usually encountered
102,Because want to inform
103,Symbol of wealth
104,Because I was curious
105,North Korean reality
106,Because I experienced reality in North Korean prison
107,"CDs are difficult to hide when being investigated, USBs are convenient to use, can store many videos and are easy to hide"
108,Because I experienced it
109,"Phones and electronic devices are not common in North Korea, so they have rarity"
110,The difference in politics between North and South Kroea is the difference in all aspects of life
111,Because you cannot view it freely you become more curious and interested
112,Desire to learn about the realities of capitalism and watch fun dramas
113,By viewing contents you can learn about how society changes and develops
114,Saw many through close acquaintances and friends
115,"In reality, share from acquaintances and friends"
116,Content related to North Korea and can be viewed easily through CVD
117,None
118,Because the content was good
119,Family and friends
120,Because it was fun
121,Market
122,Family
123,Just answered the question
124,Because it felt closest
125,"Because of that, I knew from a young age that South Korea is not at badly off, and that it was a country of freedom"
126,Because it's convenient
127,Experience
128,"Only possible with people you have a relationship with, close relatives or neighbors, if you make a mistake with people you don't know, then you can get into trouble"
129,Because my house didn't have a DVD player
130,Because it was popular
131,Because everyone has to know
132,Because it was most safe
133,Because I had more curiosity for overseas media than North Korean media
134,"Because I really wanted to know how ohter countries lived. Through DVDs, saw that people abroad appeared to have free looking lives that I, my family and friends envied and talked about frequently"
